585.498	54277
586.017	54169
586.541	54462
587.06	54701
587.577	54564
588.1	54389
588.617	54501
589.134	54584
589.656	54676
590.172	54644
590.687	54714
591.208	54825
591.723	54798
592.237	54967
592.752	55161
593.271	55345
593.784	55268
594.297	55194
594.815	55650
595.328	55345
595.839	55672
596.356	55317
596.868	55617
597.379	55499
597.894	55442
598.405	55522
598.914	55512
599.429	55193
599.938	55465
600.447	55503
600.955	55490
601.468	55312
601.976	55178
602.483	55366
602.995	55263
603.502	55230
604.008	55280
604.519	55199
605.025	55202
605.53	55044
606.04	54714
606.544	54925
607.048	55202
607.557	54615
608.06	54886
608.563	54886
609.066	54763
609.573	54680
610.075	54687
610.577	54423
611.083	54425
611.584	54617
612.084	54476
612.59	54312
613.089	54204
613.589	54015
614.093	53734
614.592	53758
615.09	53518
615.593	53525
616.091	53421
616.588	53618
617.085	53135
617.587	52838
618.083	52685
618.579	52753
619.079	52351
619.574	52372
620.069	52230
620.569	52344
621.063	51932
621.557	51692
622.055	51752
622.548	51511
623.041	51110
623.538	51235
624.03	51044
624.522	50845
625.013	50973
625.509	50691
626	50557
626.49	50394
626.985	50448
627.475	50453
627.964	50183
628.458	50226
628.946	50049
629.434	50175
629.927	50294
630.415	50067
630.902	49767
631.394	49573
631.88	49851
632.366	49960
632.857	49533
633.343	49618
633.828	49517
634.312	49813
634.802	49778
635.286	49663
635.77	49908
636.258	49647
636.741	49404
637.224	49507
637.711	49547
638.193	49317
638.675	49375
639.161	49645
639.642	49606
640.122	49491
640.608	49526
641.088	49424
641.567	49277
642.047	49523
642.53	49433
643.009	49400
643.487	49421
643.97	49187
644.448	49437
644.925	49257
645.407	49517
645.883	49457
646.36	49579
646.84	49284
647.316	49526
647.791	49678
648.271	49751
648.746	49924
649.22	49965
649.694	50264
650.172	50098
650.645	50210
651.118	50343
651.596	50388
652.068	50475
652.54	50538
653.016	50677
653.487	50638
653.958	50668
654.434	50643
654.904	50556
655.374	50428
655.848	50439
656.317	50364
656.786	50103
657.255	49989
657.728	49957
658.196	49825
658.663	49639
659.135	49402
659.602	49444
660.069	49235
660.54	49106
661.006	49111
661.471	49000
661.941	48961
662.406	48793
662.871	48688
663.34	48641
663.804	48562
664.267	48198
664.731	48337
665.199	48056
665.661	48105
666.123	48214
666.59	48142
667.052	48120
667.513	48332
667.979	48222
668.44	48241
668.9	48181
669.365	48278
669.824	48230
670.284	48301
670.748	48274
671.206	48251
671.665	48172
672.128	48180
672.585	48117
673.043	48106
673.5	48221
673.962	48333
674.418	48257
674.874	48073
675.335	48063
675.79	48225
676.245	48122
676.705	48256
677.159	48215
677.614	48276
678.072	48407
678.526	48305
678.979	48301
679.437	48293
679.889	48487
680.342	48449
680.794	48424
681.25	48156
681.701	48107
682.152	48204
682.608	48093
683.058	47739
683.508	47910
683.963	47657
684.412	47844
684.861	47815
685.315	47592
685.763	47727
686.212	47802
686.664	47754
687.112	47506
687.559	47488
688.006	47400
688.457	47286
688.903	47107
689.349	47097
689.8	47088
690.245	46944
690.69	46559
691.139	46921
691.584	46773
692.028	46632
692.476	46687
692.92	46797
693.363	46679
693.81	46288
694.253	46151
694.695	45834
695.137	45891
695.555	46061
696.02	45984
696.438	45626
696.902	45480
697.319	45519
697.782	45362
698.199	45371
698.661	45431
699.077	45262
699.539	45383
699.955	45273
700.416	45216
700.877	45127
701.291	44995
701.752	44803
702.166	44801
702.625	44888
703.039	44603
703.498	44692
703.911	44681
704.369	44638
704.781	44554
705.239	44535
705.651	44424
706.108	44375
706.519	44477
706.975	44300
707.386	44139
707.842	44295
708.297	44180
708.707	43859
709.161	43889
709.571	43774
710.025	43716
710.433	43827
710.887	43678
711.295	43613
711.748	43554
712.155	43515
712.607	43577
713.014	43450
713.466	43368
713.872	43389
714.323	43260
714.774	42939
715.179	42982
715.629	42914
716.034	42567
716.483	42478
716.888	42489
717.336	42724
717.74	42587
718.188	42259
718.591	42132
719.039	42132
719.441	42025
719.888	41912
720.29	41796
720.737	41762
721.138	41556
721.584	41558
722.029	41566
722.43	41413
722.874	41151
723.274	41057
