Wavenumbers	Absorbance/g
cm\+(-1)	
1926.86	153.51429
1928.79	153.18571
1930.71	152.87143
1932.64	152.58571
1934.56	152.4
1936.49	152.3
1938.41	152.08571
1940.34	152.1
1942.26	152.07143
1944.19	152.17143
1946.11	152.18571
1948.04	152.25714
1949.96	152.34286
1951.89	152.54286
1953.81	152.71429
1955.74	152.92857
1957.66	153
1959.59	153.2
1961.51	153.45714
1963.44	153.57143
1965.36	153.78571
1967.29	153.98571
1969.21	154.14286
1971.14	154.24286
1973.06	154.42857
1974.98	154.48571
1976.91	154.62857
1978.83	154.65714
1980.76	154.62857
1982.68	154.65714
1984.61	154.62857
1986.53	154.52857
1988.46	154.44286
1990.38	154.4
1992.31	154.2
1994.23	154.05714
1996.16	153.8
1998.08	153.55714
2000.01	153.25714
2001.93	152.95714
2003.86	152.57143
2005.78	152.21429
2007.71	151.84286
2009.63	151.44286
2011.56	151.04286
2013.48	150.54286
2015.41	150.11429
2017.33	149.62857
2019.26	149.14286
2021.18	148.58571
2023.11	148.04286
2025.03	147.52857
2026.96	147
2028.88	146.45714
2030.81	145.9
2032.73	145.3
2034.66	144.71429
2036.58	144.14286
2038.51	143.52857
2040.43	142.92857
2042.36	142.33143
2044.28	141.72286
2046.21	141.14429
2048.13	140.55571
2050.06	140.00286
2051.98	139.5
2053.91	138.93143
2055.83	138.41429
2057.76	137.88571
2059.68	137.44429
2061.61	136.89143
2063.53	136.49857
2065.46	136.07571
2067.38	135.72429
2069.31	135.34714
2071.23	134.96571
2073.16	134.62286
2075.08	134.33143
2077.01	134.03
2078.93	133.77857
2080.86	133.56714
2082.78	133.33143
2084.71	133.17
2086.63	133.00429
2088.56	132.83857
2090.48	132.68714
2092.41	132.60286
2094.33	132.40143
2096.26	132.27571
2098.18	132.22571
2100.11	132.18429
2102.03	132.10429
2103.96	132.06429
2105.88	132.04429
2107.81	131.97857
2109.73	131.96429
2111.66	131.83286
2113.58	131.88286
2115.51	131.77286
2117.43	131.85857
2119.36	131.74714
2121.28	131.79714
2123.2	131.75286
2125.13	131.75714
2127.05	131.77714
2128.98	131.77286
2130.9	131.74286
2132.83	131.72714
2134.75	131.75714
2136.68	131.74714
2138.6	131.76714
2140.53	131.74286
2142.45	131.75286
2144.38	131.76714
2146.3	131.75286
2148.23	131.82286
2150.15	131.75286
2152.08	131.79714
2154	131.75714
2155.93	131.77286
2157.85	131.74286
2159.78	131.80714
2161.7	131.75286
2163.63	131.79714
2165.55	131.79714
2167.48	131.77286
2169.4	131.79714
2171.33	131.81714
2173.25	131.81714
2175.18	131.77714
2177.1	131.82857
2179.03	131.76714
2180.95	131.84286
2182.88	131.82286
2184.8	131.86857
2186.73	131.81286
2188.65	131.88286
2190.58	131.83286
2192.5	131.87286
2194.43	131.91857
2196.35	131.89286
2198.28	131.91286
2200.2	131.89286
2202.13	131.89857
2204.05	131.96857
2205.98	131.96429
2207.9	131.93286
2209.83	131.97429
2211.75	132.00429
2213.68	132.05429
2215.6	132.07429
2217.53	132.06429
2219.45	132.09429
2221.38	132.11
2223.3	132.15429
2225.23	132.22571
2227.15	132.21571
2229.08	132.25571
2231	132.26571
2232.93	132.34143
