Wavelength	Absorbance	Wavelength	Absorbance
nm		nm	
936.8	0.37862	1218.8	0.17903
939.7	0.38011	1222.7	0.17724
941.8	0.3816	1227.2	0.17478
944.2	0.38259	1231.7	0.17176
946	0.38358	1235.9	0.16974
947.7	0.38507	1239.5	0.16773
948.9	0.38606	1244.6	0.1647
949.8	0.38706	1248.8	0.16309
951.3	0.38755	1253	0.16114
951.9	0.38805	1257.8	0.15865
953.4	0.38904	1262.6	0.15563
955.4	0.39053	1267.7	0.1526
957.5	0.39102	1272.2	0.1507
958.4	0.39172	1277.3	0.14854
959.3	0.39251	1280.9	0.14704
961	0.39323	1283.3	0.14603
961.6	0.39381	1286.3	0.14497
963.4	0.3936	1289.9	0.14303
965.8	0.39399	1294.4	0.14148
968.1	0.39399	1297.7	0.13996
971.1	0.39374	1302.9	0.13894
972.9	0.39397	1308	0.13641
975.8	0.39385	1312.8	0.13502
977.3	0.39403	1317.3	0.13337
979.4	0.39425	1322.1	0.13165
980.9	0.39392	1325.1	0.12933
982	0.39455	1329.6	0.12688
983.8	0.39478	1335.6	0.12474
985.3	0.39494	1341.6	0.12244
988.3	0.39498	1347	0.12038
989.7	0.3952	1350.3	0.11911
992.1	0.39603	1354.5	0.11693
994.8	0.39632	1359.6	0.11467
998.3	0.39719	1364.7	0.11315
1001.6	0.39738	1369.2	0.11212
1004	0.39746	1372.8	0.1116
1005.5	0.39759	1377.3	0.11108
1006.7	0.3977	1379.7	0.11157
1008.8	0.39749	1381.5	0.11206
1010.3	0.39736	1383.3	0.11259
1012.1	0.39685	1384.2	0.11367
1014.2	0.39685	1385.4	0.11577
1015.4	0.39634	1386	0.11732
1016.9	0.39599	1386.3	0.11835
1019	0.39582	1386.6	0.11937
1021.7	0.39626	1386.9	0.12089
1023.2	0.39632	1387.2	0.12292
1023.8	0.39582	1387.8	0.12497
1026.2	0.39584	1388.7	0.12848
1028.9	0.39559	1389	0.13098
1031.6	0.3953	1389.3	0.13247
1033.7	0.39429	1389.6	0.13497
1035.2	0.39429	1389.9	0.13846
1036.4	0.39379	1390.2	0.14344
1039.1	0.39278	1390.8	0.14743
1040.6	0.39277	1391.1	0.15092
1043	0.39227	1391.4	0.15641
1043.9	0.39177	1392	0.15841
1046.6	0.39126	1392.3	0.1619
1049.1	0.39025	1392.6	0.16539
1051.5	0.38975	1392.9	0.16988
1054.8	0.38924	1393.2	0.17337
1057.5	0.38773	1393.8	0.1799
1060.8	0.38641	1394.2	0.18894
1063.2	0.38533	1394.5	0.19297
1065.6	0.38458	1394.8	0.19849
1069.2	0.38321	1395.1	0.215
1071.3	0.3817	1395.4	0.21903
