Wavelength,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
nm,arb units,arb units,arb units,arb units,arb units,arb units
Concentration,0.01 µmol/ml,0.02 µmol/ml,0.03 µmol/ml,0.04 µmol/ml,0.05 µmol/ml,0.06 µmol/ml
507,-0.001,-0.001,-0.001,-0.001,0.002,0.00233
508,-0.001,-0.001,-0.001,-0.001,0.002,0.00233
509,-0.001,-0.001,-0.001,-0.001,0.002,0.00233
510,-0.001,-0.001,-0.001,-0.001,0.00233,0.00267
511,-0.001,-0.001,-0.001,-0.001,0.00267,0.003
512,-0.001,-0.001,-0.001,-6.66667E-4,0.00267,0.003
513,-0.001,-0.001,-0.001,-3.33333E-4,0.003,0.003
514,-0.001,-0.001,-0.001,-3.33333E-4,0.003,0.003
515,-0.001,-6.66667E-4,-0.001,0,0.003,0.00333
516,-0.001,0,-6.66667E-4,0,0.003,0.00367
517,-0.001,0,-3.33333E-4,0,0.003,0.00367
518,-0.001,0,0,0,0.003,0.004
519,-0.001,0,0,0,0.00333,0.004
520,-0.001,0,0,0,0.00367,0.004
521,-0.001,0,0,0,0.004,0.004
522,-0.001,0,0,0,0.004,0.00433
523,-6.66667E-4,0,0,0.001,0.004,0.00467
524,-3.33333E-4,0,0,0.001,0.004,0.005
525,0,0,0,0.001,0.004,0.005
526,0,0,0,0.001,0.00467,0.005
527,0,0,0.001,0.001,0.00467,0.00533
528,0,0,0.001,0.001,0.005,0.00533
529,0,0,0.001,0.001,0.005,0.00567
530,0,3.33333E-4,0.001,0.001,0.005,0.006
531,0,3.33333E-4,0.001,0.00167,0.005,0.006
532,0,6.66667E-4,0.001,0.002,0.005,0.00633
533,0,0.001,0.001,0.002,0.00567,0.00633
534,0,0.001,0.001,0.002,0.00567,0.00633
535,0,0.001,0.001,0.002,0.00567,0.00667
536,0,0.001,0.002,0.002,0.006,0.007
537,0,0.001,0.00133,0.002,0.006,0.007
538,0,0.001,0.00167,0.002,0.006,0.007
539,0,0.001,0.002,0.002,0.006,0.007
540,0,0.001,0.002,0.002,0.006,0.00733
541,0,0.001,0.002,0.002,0.006,0.00733
